title,price,year,length,brand,url,bargain_score,risk_level,estimated_market_value,potential_savings,red_flags,positive_indicators,reasoning,seller_questions
Unik mulighet - 2024 Lagoon 42 - kan selges eks. mva,8937500,2024.0,,lagoon,https://www.finn.no/mobility/item/417053296,6.0,LOW,,0,[],[],✅ Good value potential (score: 6.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Velholdt og rikelig utstyr Jeanneau Sun Odyssey 439 – Med helt nye seil,2150000,,,jeanneau,https://www.finn.no/mobility/item/417095200,5.6,LOW,,0,[],"['ny', 'nye', 'velholdt']","✅ Good value potential (score: 5.6/10) | ✅ 3 positive indicator(s): ny, nye, velholdt","['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
2020 mod. Dufour 412 - Visning hos oss på Vollen Marina,2995000,2020.0,,dufour,https://www.finn.no/mobility/item/410445114,5.5,LOW,,0,[],[],✅ Good value potential (score: 5.5/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Killing på henger (med full nyere seilgarderobe),45000,,,killing,https://www.finn.no/mobility/item/417491608,5.4,LOW,,0,[],"['ny', 'nye']","✅ Good value potential (score: 5.4/10) | ✅ 2 positive indicator(s): ny, nye","['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Havseiler C&C 30E med nyere motor til salgs,120000,,,c&c,https://www.finn.no/mobility/item/417331547,5.4,LOW,,0,[],"['ny', 'nye']","✅ Good value potential (score: 5.4/10) | ✅ 2 positive indicator(s): ny, nye","['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Godt oppgradert Bavaria 33 Cruiser,600000,,,bavaria,https://www.finn.no/mobility/item/417243855,5.4,LOW,,0,[],"['godt', 'oppgradert']","✅ Good value potential (score: 5.4/10) | ✅ 2 positive indicator(s): godt, oppgradert","['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Seilbåt Bella 31 fot,70000,,31.0,bella,https://www.finn.no/mobility/item/417587869,5.3,LOW,,0,[],[],✅ Good value potential (score: 5.3/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Godt vedlikeholdt epoxy skrog. Klar for sommeren,1150000,,,hanse,https://www.finn.no/mobility/item/409974460,5.2,LOW,,0,[],['godt'],✅ Good value potential (score: 5.2/10) | ✅ 1 positive indicator(s): godt,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Maxi Fenix. Båtplass i Oslo ut sesongen. Ny mast og seil mm.,97000,,,maxi,https://www.finn.no/mobility/item/408641751,5.2,LOW,,0,[],['ny'],✅ Good value potential (score: 5.2/10) | ✅ 1 positive indicator(s): ny,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Meget velholdt Beneteau Oceanis 38 selges - Visning hos oss på Vollen Marina,1995000,,,benneteau,https://www.finn.no/mobility/item/414262568,5.2,LOW,,0,[],['velholdt'],✅ Good value potential (score: 5.2/10) | ✅ 1 positive indicator(s): velholdt,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Godt utstyrt Maxi 68,28000,,,maxi,https://www.finn.no/mobility/item/417217441,5.2,LOW,,0,[],['godt'],✅ Good value potential (score: 5.2/10) | ✅ 1 positive indicator(s): godt,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
I utmerket tilstand,1695000,,,hallberg rassy,https://www.finn.no/mobility/item/269908747,5.2,LOW,,0,[],['utmerket'],✅ Good value potential (score: 5.2/10) | ✅ 1 positive indicator(s): utmerket,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
UNIK I NORGE: Shipman 63 - Ytelse og komfort i særklasse!,6800000,,,shipman,https://www.finn.no/mobility/item/413297553,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Sunwind 27 fot,65000,,27.0,sunwind,https://www.finn.no/mobility/item/417613851,5.0,LOW,,0,['Extremely short description'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Extremely short description,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Maxi 77 med innenbordsmotor,19000,,,maxi,https://www.finn.no/mobility/item/417591519,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Mamba 311 med oppgraderinger. Klar for seilas!,190000,,,mamba,https://www.finn.no/mobility/item/413005957,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Nauticat 33,340000,,,nauticat,https://www.finn.no/mobility/item/358040180,5.0,LOW,,0,['Extremely short description'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Extremely short description,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Viksund Goldfish 31,25000,,,viksund,https://www.finn.no/mobility/item/417572816,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Dehlya 22,19000,,,dehler,https://www.finn.no/mobility/item/417558628,5.0,LOW,,0,['Extremely short description'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Extremely short description,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
14 fots Katamaran seilbåt til salgs,1200,,,andre,https://www.finn.no/mobility/item/417533043,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Den historiske seilbåten Aniara selges! 32 fots Krysser m. Bermuda Ketch,100000,,,andre,https://www.finn.no/mobility/item/404502433,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
CE Yacht CR400DS,1700000,,,cr,https://www.finn.no/mobility/item/416066802,5.0,LOW,,0,['Extremely short description'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Extremely short description,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Bavaria 42 Cruiser selges.,1070000,,,bavaria,https://www.finn.no/mobility/item/417522752,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
"Sejlbåd: ""Mikkel 30""",135000,,,mikkel,https://www.finn.no/mobility/item/417495735,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Formosa 36 seilbåt,395000,,,formosa,https://www.finn.no/mobility/item/359890143,5.0,LOW,,0,['Extremely short description'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Extremely short description,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Ferieklar Maxi 77 med opplagskrybbe,45000,,,maxi,https://www.finn.no/mobility/item/417452603,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Ovni 395,1900000,,,alubat,https://www.finn.no/mobility/item/417440909,5.0,LOW,,0,['Extremely short description'],[],✅ Good value potential (score: 5.0/10) | 🚩 1 red flag(s): Extremely short description,"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Albin 78 Cirrus - en liten stor herlighet!,50000,,,albin,https://www.finn.no/mobility/item/310915509,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Colin archer 40 bobåt bruksbåt Jordomseiling,350000,,,colin archer,https://www.finn.no/mobility/item/308151914,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
ALBIN DELTA med/uten båtplass på Kongen Marina,149000,,,albin,https://www.finn.no/mobility/item/412777524,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
"Twostar 36, vellutstyrt og seilklar.",200000,,,twostar,https://www.finn.no/mobility/item/417407025,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
Bavaria seilbåt cruiser 37,1100000,,,bavaria,https://www.finn.no/mobility/item/417132366,5.0,LOW,,0,[],[],✅ Good value potential (score: 5.0/10),"['Can you provide the most recent survey report?', 'What is the service history of the engine?', 'Are there any known issues or needed repairs?', 'Why are you selling the boat?', 'Can I see all documentation (registration, insurance, etc.)?']"
